recommendation_id,zone_id,zone_name,region,risk_level,delay_risk_score,depletion_risk_score,risk_score_p10,risk_score_p90,projected_risk_no_action_2h,demand_pressure_score,imbalance_score,imbalance_level,policy_action,policy_reason,predicted_shortage,severity_bucket,persistence_count,neighbor_surplus,recommended_action,action_reason,action_tier,action_tier_label,requires_approver,trigger_condition,estimated_action_cost,estimated_shortage_reduction,budget_remaining,expected_supply_uplift,estimated_recoverable_opportunity,opportunity_ratio,issue_detected,recommendation,expected_impact,confidence,priority,explanation_tag,last_updated,eta_minutes,intervention_window,adjacent_risk_zones,network_warning,root_cause,action_id,action_type,pricing_level,incentive_level,push_level,expected_recovery_rate,expected_improvement_rate,estimated_score_delta,confidence_band,evidence_count,follow_rate,policy_rank_reason,estimated_cost_sgd,expected_supply_response_30m,expected_recovery_probability,expected_roi,decision_objective,winning_reason,constraints_triggered,alternative_actions
5bbda090e99df764,37,Sembawang,North,low,0.0212,0.0212,0.0,0.125,0.421,0.1689,0.2887,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.2168,low,0,0.0,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.22, pressure 0.17, persistence 0 window(s)",0.0,0.0,30.0,0.0,43.488,434.88,Low shortage stress in Sembawang (score 0.217).,Continue monitoring Sembawang; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.25,low,rapid depletion + sustained depletion + critically low supply + below yesterday baseline + rain,2026-05-11T03:43:23.112837+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.2168,434.88,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
0c650d2d49ebd2aa,38,Sengkang,North-East,low,0.0291,0.0291,0.0,0.125,0.321,0.1689,0.0712,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.0862,low,0,0.2,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.09, pressure 0.17, persistence 0 window(s)",0.0,0.0,30.0,0.0,6.5316,65.316,Low shortage stress in Sengkang (score 0.086).,Continue monitoring Sengkang; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.25,low,rapid depletion + sustained depletion + low supply + rain,2026-05-11T03:43:23.112943+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.0862,65.316,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
d2e804df87634833,39,Serangoon,North-East,low,0.0053,0.0053,0.0,0.106,0.382,0.1689,0.1736,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.1529,low,0,5.7944,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.15, pressure 0.17, persistence 0 window(s)",0.0,0.0,30.0,0.0,24.3,243.0,Low shortage stress in Serangoon (score 0.153).,Continue monitoring Serangoon; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.25,low,rapid depletion + sustained depletion + critically low supply + below yesterday baseline + rain,2026-05-11T03:43:23.113036+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.1529,243.0,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
7b254de213931f31,40,Simpang,North,low,0.0231,0.0231,0.0,0.128,0.532,0.1689,0.2887,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.2174,low,0,0.7,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.22, pressure 0.17, persistence 0 window(s)",0.0,0.0,30.0,0.0,43.632,436.32,Low shortage stress in Simpang (score 0.217).,Continue monitoring Simpang; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.25,low,rapid depletion + sustained depletion + critically low supply + below yesterday baseline + rain,2026-05-11T03:43:23.113124+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.2174,436.32,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
a2cd851f5d98d73d,41,Singapore River,Central,low,0.0383,0.0383,0.0,0.113,0.194,0.1689,0.2293,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.1971,low,0,8.4897,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.20, pressure 0.17, persistence 0 window(s)",0.0,0.0,30.0,0.0,173.25,1732.5,Low shortage stress in Singapore River (score 0.197).,Continue monitoring Singapore River; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.25,low,sustained depletion + critically low supply + below yesterday baseline + rain,2026-05-11T03:43:23.113211+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.1971,1732.5,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
7f65b970318d3e6a,42,Southern Islands,Central,low,0.0424,0.0424,0.0,0.091,0.042,0.1689,0.1244,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.1308,low,0,3.0444,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.13, pressure 0.17, persistence 0 window(s)",0.0,0.0,30.0,0.0,19.26,192.6,Low shortage stress in Southern Islands (score 0.131).,Continue monitoring Southern Islands; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.25,low,critically low supply + below yesterday baseline + rain,2026-05-11T03:43:23.113296+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.1308,192.6,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
4c3179d246a07908,43,Straits View,Central,low,0.0311,0.0311,0.0,0.077,0.031,0.1689,0.8338,high,intervention,Heuristic baseline policy recommends intervention because depletion risk or imbalance is already high.,0.2869,moderate,1,4.6563,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"moderate shortage risk; predicted shortage 0.29, pressure 0.17, persistence 1 window(s)",0.0,0.0,30.0,0.0,57.06,570.6,Moderate shortage stress in Straits View (score 0.287).,Continue monitoring Straits View; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.25,medium,critically low supply + below yesterday baseline + rain,2026-05-11T03:43:23.113394+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.2869,570.6,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
6741770b5e1b2598,44,Sungei Kadut,North,low,0.3226,0.3226,0.258,0.387,0.323,0.1689,0.0608,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.1889,low,0,0.0,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.19, pressure 0.17, persistence 0 window(s)",0.0,0.0,30.0,0.0,4.2979,42.979,Low shortage stress in Sungei Kadut (score 0.189).,Continue monitoring Sungei Kadut; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.3,low,critically low supply + rain,2026-05-11T03:43:23.113479+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.1889,42.979,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
3fd1ff883f6a2454,45,Tampines,East,low,0.0599,0.0599,0.0,0.141,0.228,0.1689,0.0988,low,no_action,Heuristic baseline policy recommends no action because depletion risk and imbalance remain low.,0.117,low,0,0.4611,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.12, pressure 0.17, persistence 0 window(s)",0.0,0.0,30.0,0.0,17.4714,174.714,Low shortage stress in Tampines (score 0.117).,Continue monitoring Tampines; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.25,low,low supply + rain,2026-05-11T03:43:23.113562+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.117,174.714,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
d9f613548753cd84,46,Tanglin,Central,low,0.3329,0.3329,0.266,0.399,0.333,0.1689,0.1378,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.2425,low,0,8.323,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.24, pressure 0.17, persistence 0 window(s)",0.0,0.0,30.0,0.0,33.066,330.66,Low shortage stress in Tanglin (score 0.242).,Continue monitoring Tanglin; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.32,low,critically low supply + below yesterday baseline + rain,2026-05-11T03:43:23.113644+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.2425,330.66,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
38390e045ce315b0,47,Tengah,West,high,0.933,0.933,1.12,0.746,0.933,0.1689,0.0473,low,intervention,Heuristic baseline policy recommends intervention because depletion risk or imbalance is already high.,0.4026,moderate,1,0.2,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"moderate shortage risk; predicted shortage 0.40, pressure 0.17, persistence 1 window(s)",0.0,0.0,30.0,0.0,8.8875,88.875,Moderate shortage stress in Tengah (score 0.403).,Continue monitoring Tengah; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.85,high,critically low supply + rain,2026-05-11T03:43:23.113734+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,medium,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.4026,88.875,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
42a8c3a433d4ef4f,48,Toa Payoh,Central,low,0.095,0.095,0.028,0.162,0.142,0.1689,0.065,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.1093,low,0,8.423,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.11, pressure 0.17, persistence 0 window(s)",0.0,0.0,30.0,0.0,20.1462,201.462,Low shortage stress in Toa Payoh (score 0.109).,Continue monitoring Toa Payoh; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.25,low,low supply + rain,2026-05-11T03:43:23.113818+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.1093,201.462,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
b07453bee4de4ac6,49,Tuas,West,low,0.0588,0.0588,0.0,0.211,0.409,0.1689,0.8338,high,intervention,Heuristic baseline policy recommends intervention because depletion risk or imbalance is already high.,0.2966,moderate,4,0.0,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"moderate shortage risk; predicted shortage 0.30, pressure 0.17, persistence 4 window(s)",0.0,0.0,30.0,0.0,23.328,233.28,Moderate shortage stress in Tuas (score 0.297).,Continue monitoring Tuas; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.25,medium,rapid depletion + sustained depletion + critically low supply + below yesterday baseline + rain,2026-05-11T03:43:23.113901+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.2966,233.28,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
c5a925e28e4373f6,50,Western Islands,West,low,0.0319,0.0319,0.0,0.078,0.032,0.1689,0.8338,high,intervention,Heuristic baseline policy recommends intervention because depletion risk or imbalance is already high.,0.2872,moderate,1,0.0,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"moderate shortage risk; predicted shortage 0.29, pressure 0.17, persistence 1 window(s)",0.0,0.0,30.0,0.0,22.8384,228.384,Moderate shortage stress in Western Islands (score 0.287).,Continue monitoring Western Islands; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.25,medium,critically low supply + below yesterday baseline + rain,2026-05-11T03:43:23.113984+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.2872,228.384,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
5a4d32a54831e4db,51,Western Water,West,low,0.0198,0.0198,0.0,0.164,0.486,0.1689,0.8338,high,intervention,Heuristic baseline policy recommends intervention because depletion risk or imbalance is already high.,0.2829,moderate,2,0.0,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"moderate shortage risk; predicted shortage 0.28, pressure 0.17, persistence 2 window(s)",0.0,0.0,30.0,0.0,22.6224,226.224,Moderate shortage stress in Western Water (score 0.283).,Continue monitoring Western Water; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.25,medium,rapid depletion + sustained depletion + critically low supply + below yesterday baseline + rain,2026-05-11T03:43:23.114067+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.2829,226.224,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
30910f18f70185bf,52,Woodlands,North,low,0.0204,0.0204,0.0,0.124,0.487,0.1689,0.2551,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.2031,low,0,0.7,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.20, pressure 0.17, persistence 0 window(s)",0.0,0.0,30.0,0.0,60.7824,607.824,Low shortage stress in Woodlands (score 0.203).,Continue monitoring Woodlands; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.25,low,rapid depletion + sustained depletion + critically low supply + below yesterday baseline + rain,2026-05-11T03:43:23.114149+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.2031,607.824,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
1af062444218ab92,53,Yishun,North,low,0.0171,0.0171,0.0,0.118,0.35,0.1689,0.2149,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.182,low,0,0.0,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.18, pressure 0.17, persistence 0 window(s)",0.0,0.0,30.0,0.0,92.088,920.88,Low shortage stress in Yishun (score 0.182).,Continue monitoring Yishun; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.25,low,rapid depletion + sustained depletion + low supply + below yesterday baseline + rain,2026-05-11T03:43:23.114230+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.182,920.88,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
ce5a3e1e54b4ecd9,54,Bukit Brown,Central,medium,0.4173,0.4173,0.264,0.571,0.592,0.1689,0.0743,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.2221,low,0,10.1667,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.22, pressure 0.17, persistence 0 window(s)",0.0,0.0,30.0,0.0,14.8478,148.478,Low shortage stress in Bukit Brown (score 0.222).,Continue monitoring Bukit Brown; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.39,medium,critically low supply + below yesterday baseline + rain,2026-05-11T03:43:23.114313+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.2221,148.478,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
060598bd76f30b87,55,Tengah Park,West,medium,0.4683,0.4683,0.455,0.482,0.468,0.1689,0.0743,low,watchlist,Heuristic baseline policy recommends watchlist monitoring because signals are elevated but not yet acute.,0.2399,low,0,2.2,monitor,Selected monitor because it maximized deterministic net value under current constraints.,0,Monitor only,none,"low shortage risk; predicted shortage 0.24, pressure 0.17, persistence 0 window(s)",0.0,0.0,30.0,0.0,3.4287,34.287,Low shortage stress in Tengah Park (score 0.240).,Continue monitoring Tengah Park; no active intervention is warranted yet.,Maintain watchlist posture while preserving budget and adjacent supply.,0.43,medium,critically low supply + below yesterday baseline + rain,2026-05-11T03:43:23.114395+00:00,,,,,weather,monitor,monitor,none,none,none,,,-0.0,low,0,,Selected monitor because it maximized deterministic net value under current constraints.,0.0,0.0,0.2399,34.287,reliability_first,Selected monitor because it maximized deterministic net value under current constraints.,[],[]
